epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4962.12,1.0635,0.67759,1.15094,0.93149,0.90005,0.95176,0.68867,1.01064,0.59675,1.15018,0.005842,0.005842,0.005842
44,5077.21,1.03954,0.65629,1.13643,0.93654,0.89758,0.9525,0.69767,0.98337,0.59266,1.13579,0.005743,0.005743,0.005743
45,5191.91,1.03733,0.65847,1.13284,0.94363,0.8991,0.95344,0.69474,0.99636,0.58292,1.13666,0.005644,0.005644,0.005644
46,5306.65,1.01094,0.64032,1.12102,0.93452,0.90288,0.95113,0.70324,0.98995,0.57341,1.13266,0.005545,0.005545,0.005545
47,5421.38,1.0058,0.63136,1.11682,0.94792,0.90961,0.96078,0.7031,0.97635,0.57378,1.12513,0.005446,0.005446,0.005446
48,5536.38,0.98661,0.62276,1.10667,0.93928,0.90665,0.957,0.70775,0.96402,0.56234,1.12752,0.005347,0.005347,0.005347
49,5651.25,1.00223,0.63183,1.11226,0.93881,0.89439,0.95578,0.70926,0.95729,0.56421,1.11876,0.005248,0.005248,0.005248
50,5766.23,0.98594,0.61438,1.10794,0.9392,0.90618,0.96123,0.71206,0.95524,0.55739,1.11304,0.005149,0.005149,0.005149
51,5880.28,0.974,0.60577,1.09844,0.94168,0.91419,0.96042,0.71483,0.9472,0.54781,1.11837,0.00505,0.00505,0.00505
52,5994.92,0.96206,0.59604,1.09533,0.94969,0.89898,0.96174,0.72169,0.93341,0.54144,1.10911,0.004951,0.004951,0.004951
53,6109.83,0.95169,0.58215,1.08485,0.93986,0.91796,0.96504,0.72023,0.93929,0.54131,1.11453,0.004852,0.004852,0.004852
54,6224.31,0.9573,0.59064,1.09116,0.94667,0.9038,0.9577,0.72209,0.93511,0.54197,1.10907,0.004753,0.004753,0.004753
55,6338.82,0.9545,0.58877,1.09345,0.94987,0.90853,0.96176,0.72036,0.93393,0.52193,1.114,0.004654,0.004654,0.004654
56,6453.26,0.9301,0.56583,1.06979,0.94849,0.91161,0.95906,0.72278,0.93971,0.52278,1.11392,0.004555,0.004555,0.004555
57,6568.37,0.94228,0.57961,1.07878,0.9362,0.92013,0.96138,0.72576,0.92804,0.51764,1.10395,0.004456,0.004456,0.004456
58,6683.38,0.91185,0.55453,1.06761,0.94887,0.91466,0.96224,0.72772,0.91814,0.51089,1.0993,0.004357,0.004357,0.004357
59,6799.29,0.90765,0.55564,1.05926,0.94261,0.92148,0.96492,0.73034,0.92048,0.51111,1.09833,0.004258,0.004258,0.004258
60,6915.33,0.91654,0.55576,1.07046,0.94405,0.92221,0.96646,0.73222,0.92081,0.51073,1.10181,0.004159,0.004159,0.004159
61,7029.94,0.90762,0.54997,1.06161,0.9426,0.92128,0.96655,0.73164,0.92011,0.50041,1.1022,0.00406,0.00406,0.00406
62,7144.81,0.90695,0.54717,1.0686,0.94543,0.91493,0.96068,0.73524,0.9203,0.4972,1.10446,0.003961,0.003961,0.003961
63,7259.46,0.87987,0.53664,1.04668,0.94916,0.91372,0.96495,0.73595,0.90975,0.49247,1.09839,0.003862,0.003862,0.003862
64,7374.16,0.87797,0.53686,1.04681,0.93856,0.92181,0.9643,0.73928,0.90389,0.49652,1.09095,0.003763,0.003763,0.003763
65,7489.48,0.86668,0.5165,1.04033,0.94841,0.92079,0.96791,0.74437,0.90128,0.48595,1.09184,0.003664,0.003664,0.003664
66,7604.95,0.8556,0.51684,1.03555,0.94589,0.92221,0.96742,0.74403,0.8971,0.48783,1.08895,0.003565,0.003565,0.003565
67,7719.92,0.86257,0.51837,1.03595,0.94317,0.92834,0.96809,0.74623,0.90058,0.48511,1.09047,0.003466,0.003466,0.003466
68,7835.03,0.83802,0.50426,1.02262,0.94839,0.92174,0.96628,0.74449,0.89924,0.48046,1.09201,0.003367,0.003367,0.003367
69,7950.17,0.84255,0.50732,1.03357,0.95032,0.92221,0.96812,0.746,0.89097,0.4747,1.09329,0.003268,0.003268,0.003268
70,8064.46,0.82531,0.49679,1.01733,0.95068,0.91792,0.96882,0.74957,0.88349,0.47376,1.08736,0.003169,0.003169,0.003169
71,8179.75,0.82874,0.49438,1.02205,0.95099,0.92598,0.9708,0.75011,0.88509,0.47115,1.09045,0.00307,0.00307,0.00307
72,8294.14,0.8194,0.48818,1.02133,0.95468,0.92739,0.9709,0.75118,0.88061,0.46497,1.08867,0.002971,0.002971,0.002971
73,8408.01,0.81082,0.48541,1.01481,0.94675,0.93052,0.97083,0.75353,0.87858,0.46343,1.0914,0.002872,0.002872,0.002872
74,8522.51,0.80153,0.4701,1.00833,0.95002,0.92551,0.97029,0.7539,0.87714,0.46325,1.0911,0.002773,0.002773,0.002773
75,8636.63,0.77427,0.4691,0.99679,0.94446,0.92881,0.96883,0.75615,0.87323,0.45952,1.08619,0.002674,0.002674,0.002674
76,8750.92,0.7746,0.46157,0.99097,0.95004,0.93236,0.97083,0.75594,0.87117,0.45791,1.08441,0.002575,0.002575,0.002575
77,8865.69,0.77397,0.45955,0.99679,0.94863,0.93159,0.97051,0.75766,0.86652,0.45273,1.08171,0.002476,0.002476,0.002476
78,8979.67,0.75504,0.4499,0.9846,0.9501,0.93367,0.97053,0.75855,0.86767,0.45114,1.08492,0.002377,0.002377,0.002377
79,9093.96,0.75515,0.44727,0.98761,0.94675,0.93055,0.97114,0.76135,0.86979,0.44848,1.0871,0.002278,0.002278,0.002278
80,9207.66,0.74335,0.44041,0.98331,0.94412,0.93494,0.9707,0.76257,0.86812,0.44713,1.08849,0.002179,0.002179,0.002179
81,9322.39,0.74035,0.43648,0.97724,0.94834,0.93399,0.97168,0.76478,0.86236,0.44439,1.08342,0.00208,0.00208,0.00208
82,9437.96,0.73176,0.43576,0.97829,0.95084,0.93024,0.97143,0.76674,0.85979,0.44069,1.08428,0.001981,0.001981,0.001981
83,9553.71,0.71022,0.42615,0.96389,0.94955,0.93182,0.96965,0.7664,0.85915,0.43886,1.08389,0.001882,0.001882,0.001882
84,9667.97,0.71299,0.42189,0.96983,0.94732,0.93164,0.97053,0.7658,0.8594,0.43548,1.08402,0.001783,0.001783,0.001783
85,9782.27,0.71212,0.42016,0.96517,0.94575,0.93494,0.97101,0.76652,0.86011,0.43434,1.086,0.001684,0.001684,0.001684
86,9897,0.69045,0.41196,0.95617,0.95114,0.93352,0.97066,0.76707,0.86022,0.4329,1.08664,0.001585,0.001585,0.001585
87,10011.7,0.69078,0.41269,0.95852,0.95204,0.93777,0.9737,0.76985,0.85891,0.43149,1.08638,0.001486,0.001486,0.001486
88,10126.9,0.67954,0.40715,0.94565,0.95147,0.93368,0.9708,0.76993,0.85703,0.42924,1.08652,0.001387,0.001387,0.001387
89,10240.9,0.66687,0.39577,0.94453,0.9526,0.93352,0.97058,0.77157,0.85324,0.42822,1.08452,0.001288,0.001288,0.001288
90,10355.4,0.6732,0.40295,0.94736,0.95246,0.93519,0.97061,0.77219,0.85026,0.42615,1.08408,0.001189,0.001189,0.001189
91,10472,0.65334,0.38815,0.94065,0.95316,0.93777,0.97116,0.77281,0.84924,0.4249,1.0842,0.00109,0.00109,0.00109
92,10588.2,0.64733,0.38698,0.93367,0.95422,0.93494,0.97109,0.77478,0.84643,0.42399,1.08281,0.000991,0.000991,0.000991
93,10704.2,0.64543,0.38711,0.93877,0.95479,0.93591,0.97169,0.7753,0.84559,0.4233,1.0831,0.000892,0.000892,0.000892
94,10820.6,0.6311,0.37537,0.93488,0.95301,0.93705,0.97126,0.77703,0.84508,0.42167,1.08464,0.000793,0.000793,0.000793
95,10936.9,0.62024,0.37535,0.92684,0.952,0.93729,0.97095,0.77815,0.8445,0.42107,1.0839,0.000694,0.000694,0.000694
96,11052.6,0.60799,0.36627,0.92398,0.95032,0.93792,0.97127,0.77782,0.84376,0.42015,1.08382,0.000595,0.000595,0.000595
97,11167.7,0.60157,0.36455,0.92095,0.95422,0.93777,0.97102,0.7795,0.84387,0.41917,1.0847,0.000496,0.000496,0.000496
98,11283.4,0.60606,0.36428,0.92424,0.95347,0.93729,0.97046,0.7799,0.84352,0.41819,1.08516,0.000397,0.000397,0.000397
99,11400.3,0.59831,0.36024,0.91686,0.95254,0.93674,0.97038,0.77922,0.84298,0.41776,1.08542,0.000298,0.000298,0.000298
100,11516.3,0.59321,0.36205,0.9161,0.95254,0.93687,0.9704,0.78008,0.84195,0.41676,1.08501,0.000199,0.000199,0.000199
